injected,dropped,trial,accepted,prefix_removed,ext_missing,status,received
0,3,8,False,False,False,packet_rejected,0
0,3,9,False,False,False,packet_rejected,0
0,3,10,False,False,False,packet_rejected,0
0,3,11,False,False,False,packet_rejected,0
0,3,12,False,False,False,packet_rejected,0
0,3,13,False,False,False,packet_rejected,0
0,3,14,False,False,False,packet_rejected,0
0,3,15,False,False,False,packet_rejected,0
0,3,16,False,False,False,packet_rejected,0
0,3,17,False,False,False,packet_rejected,0
0,3,18,False,False,False,packet_rejected,0
0,3,19,False,False,False,packet_rejected,0
0,3,20,False,False,False,packet_rejected,0
0,3,21,False,False,False,packet_rejected,0
0,3,22,False,False,False,packet_rejected,0
0,3,23,False,False,False,packet_rejected,0
0,3,24,False,False,False,packet_rejected,0
0,3,25,False,False,False,packet_rejected,0
0,3,26,False,False,False,packet_rejected,0
0,3,27,False,False,False,packet_rejected,0
0,3,28,False,False,False,packet_rejected,0
0,3,29,False,False,False,packet_rejected,0
0,3,30,False,False,False,packet_rejected,0
0,3,31,False,False,False,packet_rejected,0
0,3,32,False,False,False,packet_rejected,0
0,3,33,False,False,False,packet_rejected,0
0,3,34,False,False,False,packet_rejected,0
0,3,35,False,False,False,packet_rejected,0
0,3,36,False,False,False,packet_rejected,0
0,3,37,False,False,False,packet_rejected,0
0,3,38,False,False,False,packet_rejected,0
0,3,39,False,False,False,packet_rejected,0
0,3,40,False,False,False,packet_rejected,0
0,3,41,False,False,False,packet_rejected,0
0,3,42,False,False,False,packet_rejected,0
0,3,43,False,False,False,packet_rejected,0
0,3,44,False,False,False,packet_rejected,0
0,3,45,False,False,False,packet_rejected,0
0,3,46,False,False,False,packet_rejected,0
0,3,47,False,False,False,packet_rejected,0
0,3,48,False,False,False,packet_rejected,0
0,3,49,False,False,False,packet_rejected,0
0,3,50,False,False,False,packet_rejected,0
0,3,51,False,False,False,packet_rejected,0
0,3,52,False,False,False,packet_rejected,0
0,3,53,False,False,False,packet_rejected,0
0,3,54,False,False,False,packet_rejected,0
0,3,55,False,False,False,packet_rejected,0
0,3,56,False,False,False,packet_rejected,0
0,3,57,False,False,False,packet_rejected,0
0,3,58,False,False,False,packet_rejected,0
0,3,59,False,False,False,packet_rejected,0
0,3,60,False,False,False,packet_rejected,0
0,3,61,False,False,False,packet_rejected,0
0,3,62,False,False,False,packet_rejected,0
0,3,63,False,False,False,packet_rejected,0
0,3,64,False,False,False,packet_rejected,0
0,3,65,False,False,False,packet_rejected,0
0,3,66,False,False,False,packet_rejected,0
0,3,67,False,False,False,packet_rejected,0
0,3,68,False,False,False,packet_rejected,0
0,3,69,False,False,False,packet_rejected,0
0,3,70,False,False,False,packet_rejected,0
0,3,71,False,False,False,packet_rejected,0
0,3,72,False,False,False,packet_rejected,0
0,3,73,False,False,False,packet_rejected,0
0,3,74,False,False,False,packet_rejected,0
0,3,75,False,False,False,packet_rejected,0
0,3,76,False,False,False,packet_rejected,0
0,3,77,False,False,False,packet_rejected,0
0,3,78,False,False,False,packet_rejected,0
0,3,79,False,False,False,packet_rejected,0
0,3,80,False,False,False,packet_rejected,0
0,3,81,False,False,False,packet_rejected,0
0,3,82,False,False,False,packet_rejected,0
0,3,83,False,False,False,packet_rejected,0
0,3,84,False,False,False,packet_rejected,0
0,3,85,False,False,False,packet_rejected,0
0,3,86,False,False,False,packet_rejected,0
0,3,87,False,False,False,packet_rejected,0
0,3,88,False,False,False,packet_rejected,0
0,3,89,False,False,False,packet_rejected,0
0,3,90,False,False,False,packet_rejected,0
0,3,91,False,False,False,packet_rejected,0
0,3,92,False,False,False,packet_rejected,0
0,3,93,False,False,False,packet_rejected,0
0,3,94,False,False,False,packet_rejected,0
0,3,95,False,False,False,packet_rejected,0
0,3,96,False,False,False,packet_rejected,0
0,3,97,False,False,False,packet_rejected,0
0,3,98,False,False,False,packet_rejected,0
0,3,99,False,False,False,packet_rejected,0
0,4,0,False,False,False,packet_rejected,0
0,4,1,False,False,False,packet_rejected,0
0,4,2,False,False,False,packet_rejected,0
0,4,3,False,False,False,packet_rejected,0
0,4,4,False,False,False,packet_rejected,0
0,4,5,False,False,False,packet_rejected,0
0,4,6,False,False,False,packet_rejected,0
0,4,7,False,False,False,packet_rejected,0
0,4,8,False,False,False,packet_rejected,0
0,4,9,False,False,False,packet_rejected,0
0,4,10,False,False,False,packet_rejected,0
0,4,11,False,False,False,packet_rejected,0
0,4,12,False,False,False,packet_rejected,0
0,4,13,False,False,False,packet_rejected,0
0,4,14,False,False,False,packet_rejected,0
0,4,15,False,False,False,packet_rejected,0
0,4,16,False,False,False,packet_rejected,0
0,4,17,False,False,False,packet_rejected,0
0,4,18,False,False,False,packet_rejected,0
0,4,19,False,False,False,packet_rejected,0
